city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"Detroit, MI, USA",2.945853148,0.496369468,1.022527724,5.695943441,37385
"Athens, OH 45701, USA",3.426370921,0.138286544,1.096647195,4.868913858,829
"Laurel, MD, USA",3.565456335,0.01680204,1.101938879,4.768761048,23587
"Bremerton, WA, USA",3.009154337,0.454663889,1.091883747,4.681642885,6708
"Fairfax, VA, USA",3.566748017,0.015636286,1.082085833,4.7086042,41060
"Burlington, ON, Canada",3.273199335,0.262808747,1.094901765,4.993414488,4195
"Vancouver, WA, USA",2.743611961,0.618498776,1.061221466,5.143319608,26933
"Salem, OR, USA",3.125570532,0.373633232,1.076898594,5.023380282,15395
"Pittsburgh, PA, USA",3.572420325,0.010508801,1.093358352,5.052689961,39938
"Nassau, NY, USA",3.456505327,0.112645148,1.040884861,5.490229996,54151
"Louisville, KY, USA",3.536514188,0.042741463,1.085296446,4.925864419,29455
"Saskatoon, SK, Canada",2.928171287,0.507722655,1.095508901,5.29961568,5875
"Philadelphia, PA, USA",3.543550382,0.036467173,1.079850494,5.164573302,132623
"Santa Monica, CA, USA",3.219807547,0.303931252,1.021616068,5.924108892,18863
"Virginia, USA",3.575189907,0.008000397,1.089022954,4.664657828,42606
"Cottonwood, AZ, USA",3.368515422,0.186462133,1.125248091,4.712464221,2665
"Sedona, AZ, USA",3.409922911,0.15212358,1.093786923,5.126074499,1648
"Flagstaff, AZ, USA",3.415016179,0.147850794,1.096527814,5.107422775,1704
"Vitoria-Gasteiz, Álava, Spain",3.524661024,0.053264781,1.048909707,3.6375,2744
"Calgary, AB, Canada",3.26570685,0.268650663,1.162951437,4.729488121,28286
"New South Wales, Australia",3.441541128,0.125425188,1.093413294,4.712247322,441630
"Montgomery, MD, USA",3.563711095,0.018376037,1.088314832,4.872877866,33450
"Rochester, NY, USA",3.210585237,0.310914777,1.059275379,5.259547798,27359
"Buffalo, NY, USA",3.00634276,0.456551481,1.058187127,5.449005015,26700
"Tampa, FL, USA",2.841572392,0.561456939,1.107635577,5.065596074,35990
"Pinellas, FL, USA",2.728643058,0.626865191,1.086601413,5.276843206,44736
"Concord, CA, USA",3.536622816,0.042644754,1.097987845,4.718278269,28413
"Nashville, TN, USA",3.474717856,0.096965832,1.085844368,4.8698292,48494
"Cincinnati, OH, USA",3.397905033,0.162162918,1.074492082,4.788432095,25114
"Columbus, OH, USA",3.133635308,0.367812005,1.094104524,5.21693276,32952
"Cleveland, OH, USA",3.045286854,0.43011455,1.061483579,5.349965925,28181
"Indianapolis, IN, USA",2.852214249,0.555021021,1.072318165,5.150132129,28354
"Delaware, USA",3.578585745,0.004920461,1.072457256,4.949303797,49675
"Mendocino, CA, USA",3.43797807,0.128454522,1.229491191,4.739766212,15029
"Waterloo, ON, Canada",3.540375592,0.039300723,1.113486508,5.493070024,10025
"Thunder Bay, ON, Canada",3.039593227,0.434018816,1.081655148,5.69717591,2494
"Spokane, WA, USA",2.681183428,0.652778042,1.053427056,5.556351026,14734
"Orange County, CA, USA",3.24663468,0.283416429,1.074035444,4.991721725,117554
"San Diego, CA, USA",3.462891791,0.107162622,1.097915016,4.795815366,65848
"Milwaukee, WI, USA",2.782618713,0.59626134,1.049898101,5.26711563,34056
"Madison, WI, USA",3.232217481,0.294478356,1.059057703,5.005058463,10181
"Minneapolis, MN, USA",3.095125781,0.395365848,1.074245366,5.095341026,100855
"Chicago, IL, USA",2.865393191,0.546985759,1.064900191,5.361775918,178117
"Champaign, IL, USA",2.656109476,0.666091914,1.065153088,5.78618646,3871
"Sacramento, CA, USA",3.240076401,0.288459088,1.077216232,4.978291497,50209
"Yosemite Valley, CA, USA",3.023832824,0.44475614,1.149556754,5.073736859,31407
"Yuba City, CA, USA",3.228704804,0.297160502,1.080177836,5.008621613,28653
"Asheville, NC, USA",3.549293006,0.03133119,1.159271214,4.734177215,6953
"Arlington, VA, USA",3.506395644,0.069367038,1.052657444,4.948502994,5695
"Humboldt County, CA, USA",3.399396679,0.160920097,1.273149327,4.682766191,7773
"Allegany, MD, USA",3.541120905,0.038635894,1.09920702,4.74785324,3608
"Montreal, QC, Canada",3.533020514,0.045849216,1.108433734,5.209105868,98840
"Auckland, New Zealand",3.574856134,0.008302863,1.093580687,4.557170001,28281
"Worcester, MA, USA",3.560816037,0.020984253,1.086080492,4.99318413,15264
"Nantucket, MA, USA",3.569501462,0.013148972,1.109203273,5.037727061,1690
"Lowell, MA, USA",3.56719848,0.015229577,1.104515307,5.059029971,11036
"Attleboro, MA, USA",3.56134342,0.020509381,1.086642103,5.113578068,57050
"Cape Cod, MA, USA",3.571520867,0.011322755,1.122491733,5.194896646,20946
"Brockton, MA, USA",3.554660811,0.026518087,1.075292401,5.061865095,15572
"Berkshire, MA, USA",3.482869643,0.089903407,1.087162742,5.030751378,5274
"Long Island, New York, USA",3.504594164,0.070947691,1.050409728,5.240422974,145305
"Staten Island, NY, USA",3.461535942,0.108327976,1.03115436,5.072972699,26615
"Queens, NY, USA",3.501114401,0.073997097,1.019309748,5.169338419,32980
"Bronx, NY, USA",3.492714769,0.081337257,1.025891691,5.067571614,9465
"Brooklyn, NY, USA",3.507996714,0.067961101,1.014247222,4.945856436,25676
"Perth WA, Australia",3.457052571,0.112176022,1.069669071,4.642677569,143270
"Cairns QLD, Australia",3.496636342,0.077913959,1.083255884,4.174557328,6159
"Gladstone QLD 4680, Australia",3.520044826,0.057347337,1.087091322,4.512077295,1868
"Gympie QLD 4570, Australia",3.56988686,0.012800574,1.090372812,4.829947766,1308
"Innisfail QLD 4860, Australia",3.324392027,0.222271788,1.07476154,4.60915493,460
"Salt Lake City, UT, USA",2.967381423,0.482371847,1.078858246,5.086375592,64369
"Corpus Christi, TX, USA",3.206197952,0.314224656,1.05082908,5.343110986,12136
"San Antonio, TX, USA",3.427430647,0.1373912,1.065078712,5.140571057,41037
"Phoenix, AZ, USA",2.934992438,0.503358257,1.08485853,5.100948218,115254
"Mexico City, Federal District, Mexico",3.471334343,0.099889112,1.04572839,5.105814746,170295
"Fort Lauderdale, FL, USA",2.699067976,0.643122602,1.085360964,5.206972259,71550
"Rogaland, Norway",3.569977164,0.012718931,1.172811341,4.263755307,7089
"York, Toronto, ON, Canada",3.158714565,0.349537521,1.124884721,5.25647256,31259
"Adelaide SA, Australia",3.321652538,0.224468528,1.068809664,4.795444922,55215
"Bowen QLD 4805, Australia",2.966166357,0.483166988,1.049767395,4.497175141,432
"Canberra ACT, Australia",3.573447661,0.009578716,1.128878154,4.401516765,19985
"Brisbane QLD, Australia",3.447936881,0.119974296,1.097614113,4.472305345,104753
"Honolulu, HI, USA",3.567505381,0.014952437,1.08296496,4.705590062,12589
"Fort Worth, TX, USA",3.111973481,0.383386738,1.073451592,5.042868599,68413
"Albany, NY, USA",3.558525834,0.023045084,1.096075836,5.303284745,24822
"Budapest, Hungary",3.521047451,0.056461367,1.039626195,5.274449849,37708
"Longueuil, QC, Canada",3.412526357,0.149940869,1.125713931,5.258380911,12986
"Guelph, ON, Canada",3.194746622,0.322826289,1.106973234,5.342465753,2520
"Albuquerque, NM, USA",3.198643504,0.319905251,1.061131987,5.003435939,22741
"Miami, FL, USA",2.649574251,0.669519257,1.071732158,5.289404829,81069
"Las Vegas, NV, USA",2.723860824,0.629518525,1.068601233,4.772300985,50742
"Reno, NV, USA",3.315651223,0.229270003,1.07892578,4.873688203,12087
"San Jose, CA, USA",3.529435485,0.049032978,1.115815253,4.764513812,46328
"Christchurch, New Zealand",3.559207107,0.022432269,1.057273371,4.749620008,11207
"Quebec City, QC, Canada",3.312982204,0.231400617,1.104281099,5.424699254,11822
"Halifax, NS, Canada",3.531999689,0.046756323,1.102322637,4.821234472,7818
"Brampton, ON, Canada",3.374253946,0.181745637,1.143813214,5.065007294,19179
"Hamilton, ON, Canada",3.104320444,0.388842792,1.07035095,5.11406935,10178
"Vancouver, BC, Canada",2.929941935,0.506591587,1.064353554,5.014497985,38476
"Dallas, TX, USA",3.158952976,0.349362549,1.068383361,5.010574827,133118
"Houston, TX, USA",3.212552264,0.309428214,1.075976723,4.885715967,124904
"Austin, TX, USA",3.492633912,0.081407774,1.079637598,4.97650784,41814
"Winnipeg, MB, Canada",3.350844346,0.200900375,1.097812755,5.321412942,14855
"Wellington, New Zealand",3.567841981,0.014648433,1.113845711,4.572123535,9654
"Yeppoon QLD 4703, Australia",3.380406488,0.176673715,1.078824284,4.696674505,4532
"Warwick QLD 4370, Australia",2.616746518,0.686468013,1.042919559,5.010948905,460
"Townsville QLD, Australia",3.489082688,0.084502167,1.095121274,4.453977982,7093
"Toowoomba QLD, Australia",2.978839373,0.47484369,1.073453125,4.793522267,4620
"Rockhampton QLD, Australia",3.216649378,0.306326716,1.050581958,4.93370945,2296
"Maryborough QLD 4650, Australia",3.364800936,0.189507803,1.062481839,4.869270716,3299
"Maleny QLD 4552, Australia",3.537003142,0.042306118,1.127328897,4.405988024,1115
"Mackay QLD 4740, Australia",3.276823366,0.259974739,1.071902228,4.417738659,4396
"Bundaberg QLD 4670, Australia",3.357345963,0.195603227,1.05358538,4.774887444,3175
